id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
863809491490878343,Home in Toronto · ★4.0 · 3 bedrooms · 3 beds · 1 bath,508870759,David And Isabella,,Clairlea-Birchmount,43.70621651683817,-79.28540672522932,Entire home/apt,113,28,3,2023-11-23,0.62,2,88,3,
863810841633986561,Home in Toronto · ★4.65 · 1 bedroom · 1 bed · 1 shared bath,508871106,Ju Fen,,High Park-Swansea,43.646304,-79.47456350000002,Private room,60,3,17,2023-12-15,2.20,3,361,17,STR-2301-GBCKVR
863866910686206684,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,9817479,Jordan,,Dufferin Grove,43.65809762350733,-79.44349281141072,Entire home/apt,299,28,2,2023-08-13,0.31,6,275,2,
863885633192796367,Home in Toronto · ★4.75 · 1 bedroom · 2 beds · 1 bath,508870759,David And Isabella,,Clairlea-Birchmount,43.70605597077744,-79.2842287503519,Entire home/apt,89,28,4,2023-11-08,0.53,2,57,4,
863999129993630740,Rental unit in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 bath,23417144,Lindsay,,The Beaches,43.67977915381132,-79.28368033276439,Entire home/apt,120,28,25,2023-11-13,3.77,2,270,25,STR-2012-GXVHHH
864380328585228368,Home in Toronto · ★4.93 · 6 bedrooms · 6 beds · 5.5 baths,501556458,Suman,,New Toronto,43.610761412032524,-79.50149635993594,Entire home/apt,521,2,28,2023-12-26,3.15,1,99,28,STR-2212-HMSVHX
864391292456575952,Home in Toronto · 2 bedrooms · 3 beds · 1 shared bath,507699561,Khanh,,Black Creek,43.76365209999999,-79.5274209,Private room,,7,1,2023-05-23,0.13,1,0,1,STR-2303-FQDRVQ
864413034044826183,Condo in Toronto · 1 bedroom · 2 beds · 1 bath,508982202,Johnson,,Malvern,43.79380327068121,-79.23704225848711,Entire home/apt,180,2,2,2023-07-09,0.29,1,341,2,STR-2304-FPXVHQ
864457497651713193,Condo in Toronto · ★4.89 · 2 bedrooms · 4 beds · 2 baths,505756564,Helene,,Waterfront Communities-The Island,43.64415599471036,-79.38158005181576,Entire home/apt,293,2,28,2023-09-18,3.36,1,74,28,STR-2301-GWVBHV
864460781870786057,Rental unit in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 bath,470358470,Juan-Carlos,,Maple Leaf,43.70968950337409,-79.475910172622,Entire home/apt,70,28,5,2024-01-06,0.68,5,269,5,
864461660087475619,Home in Toronto · ★4.89 · 2 bedrooms · 2 beds · 1 bath,514616050,Raza,,Trinity-Bellwoods,43.6517961,-79.4247836,Entire home/apt,339,28,19,2023-11-30,2.06,1,346,19,STR-2211-GVDPHV
864517166259353602,Home in Toronto · ★4.13 · 3 bedrooms · 3 beds · 2.5 baths,509006618,Daron,,Playter Estates-Danforth,43.67871823636707,-79.34734209127015,Entire home/apt,300,28,8,2023-09-03,1.03,1,0,8,STR-2210-GQMXVG
864610886060602912,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,509034066,Alla,,Waterfront Communities-The Island,43.64305177225784,-79.38959076124475,Entire home/apt,90,28,0,,,1,364,0,
864628661352002369,Home in Toronto · ★4.85 · 1 bedroom · 1 bed · 1 private bath,262093566,Mehrnaz,,Oakwood Village,43.686989533086354,-79.43314659653507,Private room,80,28,26,2023-11-24,2.92,3,84,26,STR-2303-JFBDVZ
864683173941084544,Home in Toronto · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,356133498,Dusanka,,Parkwoods-Donalda,43.765937320652604,-79.32369513299766,Private room,57,2,8,2023-10-22,0.94,2,179,8,STR-2303-FTWKVQ
864753431988147418,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,419620952,Abdul,,Mount Pleasant West,43.7095736,-79.3924522,Entire home/apt,60,10,0,,,1,26,0,STR-2303-FPVHHQ
864799231119392199,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,196881348,Safiya,,Moss Park,43.65695295893266,-79.35591020197444,Entire home/apt,209,4,2,2023-12-03,1.07,1,207,2,STR-2309-GBYDVR
864834406902894237,Home in Toronto · ★4.62 · 3 bedrooms · 3 beds · 1 bath,47350896,Hongqing,,Humber Summit,43.75883994122452,-79.57612910251815,Entire home/apt,169,28,46,2023-11-12,5.39,1,0,46,STR-2210-FMGXVC
865002179675505208,Condo in Toronto · 1 bedroom · 1 bed · 1 private bath,469727393,Carolyn,,Henry Farm,43.77289948526542,-79.32869338164458,Private room,93,28,2,2023-04-21,0.22,2,365,2,STR-2301-HJFVHW
865126725250120928,Condo in Toronto · ★4.95 · 1 bedroom · 1 bed · 1 bath,481779009,Fabio,,Annex,43.6697824,-79.3942951,Entire home/apt,375,1,19,2023-09-10,2.13,1,31,19,STR-2207-GGMVHF
865139539419318704,Rental unit in Toronto · Studio · 1 bed · 1 bath,208496728,Liz Or Sharm,,Dovercourt-Wallace Emerson-Junction,43.67230398076487,-79.4411697348423,Entire home/apt,83,28,1,2023-08-03,0.19,5,58,1,
865190904893778049,Condo in Toronto · 2 bedrooms · 2 beds · 2 baths,37177407,Shabnam,,Waterfront Communities-The Island,43.64525328705384,-79.38904497804006,Entire home/apt,184,28,2,2023-10-01,0.46,1,331,2,
865193660321575916,Home in Toronto · ★4.97 · 1 bedroom · 1 bed · 1 private bath,14377674,Shaun,,Regent Park,43.660741510257516,-79.35896787517572,Private room,421,1,30,2023-09-30,3.53,1,187,30,STR-2207-FRLKVC
865277492410978655,Bungalow in Toronto · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,417398637,Niloofar,,Clanton Park,43.7506402253404,-79.44155449087678,Private room,53,1,22,2023-12-26,2.45,2,75,22,STR-2302-FDWKVP
865315606399581885,Guest suite in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 bath,262036954,Neva,,High Park-Swansea,43.64810233565028,-79.48896650985454,Entire home/apt,133,7,10,2023-12-13,1.20,1,0,10,STR-2304-HGBHHW
865387714519931428,Home in Toronto · ★5.0 · 3 bedrooms · 2 beds · 1 bath,9336958,Dana,,Corso Italia-Davenport,43.67813113422375,-79.44579996284298,Entire home/apt,,4,4,2023-06-30,0.55,1,0,4,STR-2304-HZRVHZ
865421665786235508,Rental unit in Toronto · ★4.83 · 1 bedroom · 2 beds · 1 bath,509181111,Nawrah,,Waterfront Communities-The Island,43.64316,-79.38077,Entire home/apt,203,1,18,2024-01-03,3.14,1,46,18,STR-2304-JCCPHZ
865529283436636376,Home in Toronto · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,228793542,Kian,,Forest Hill North,43.70101622643048,-79.44026974923402,Private room,,28,12,2023-10-19,1.45,10,0,12,STR-2012-FVQKVD
865720158033667165,Rental unit in Toronto · ★4.60 · 2 bedrooms · 2 beds · 2.5 baths,504790438,Ali,,Yonge-Eglinton,43.70778414581177,-79.39962594728195,Entire home/apt,319,4,5,2023-07-09,0.59,1,149,5,STR-2011-HQBDVK
865985316998601574,Home in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,202835606,Joaquim,,West Humber-Clairville,43.72433757517571,-79.58692889408356,Private room,58,1,9,2023-10-14,1.06,2,83,9,STR-2204-FGDBHB
866012761316987807,Rental unit in Toronto · 2 bedrooms · 2 beds · 1 bath,208955651,Abdullah,,Bay Street Corridor,43.65957,-79.38501,Entire home/apt,529,28,0,,,1,336,0,
866034313917728466,Condo in Toronto · 2 bedrooms · 2 beds · 2 baths,54333181,Nazanin,,Waterfront Communities-The Island,43.64707945623225,-79.3943474695063,Entire home/apt,182,28,1,2023-07-30,0.18,2,107,1,
866063986001075859,Rental unit in Toronto · ★4.86 · 1 bedroom · 1 bed · 1 bath,466765723,David,,Dovercourt-Wallace Emerson-Junction,43.66018,-79.4351777,Entire home/apt,107,1,21,2023-12-19,2.51,1,108,21,STR-2303-HHTBHW
866072859654010021,Home in Toronto · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,4141752,Shelley,,East End-Danforth,43.68366,-79.28903,Entire home/apt,,4,6,2023-08-31,0.87,1,0,6,STR-2304-FRGBHQ
866080733513728623,Rental unit in Toronto · ★5.0 · Studio · 1 bed · 1 bath,142896840,Yimin,,Waterfront Communities-The Island,43.64097722457719,-79.38278271211804,Entire home/apt,150,28,3,2023-11-17,0.38,16,59,3,
866138764363429390,Home in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 bath,24972992,Preet,,Little Portugal,43.647802586516605,-79.4365818193026,Private room,120,4,10,2023-11-29,1.63,1,85,10,STR-2304-GYPHHV
866157221417287556,Home in Toronto · 3 bedrooms · 4 beds · 3.5 baths,14498734,Bernie,,Moss Park,43.65752,-79.37342,Entire home/apt,200,28,2,2023-11-19,0.43,1,51,2,
